prov_id,location_id,muni_name,party_acronym_original,party_acronym,political_party_slug,political_party_long_name,color,color_hex,seats_available,party_seats,rank,color_string,show
34,34101,Marcilla de Campos,Cs,Cs,c-s,CIUDADANOS PARTIDO DE LA CIUDADANIA,cs,#feb806,3,1,2,cs_pp,FALSE
41,41046,NA,NA,NA,NA,NA,NA,,NA,NA,99,NA,TRUE
34,34102,Mazariegos,PP,PP,pp,PARTIDO POPULAR,pp,#0166dc,5,5,1,pp,FALSE
41,41047,NA,NA,NA,NA,NA,NA,,NA,NA,99,NA,TRUE
34,34103,Mazuecos de Valdeginate,PP,PP,pp,PARTIDO POPULAR,pp,#0166dc,5,4,1,pp_psoe,FALSE
34,34103,Mazuecos de Valdeginate,PSOE,PSOE,psoe,PARTIDO SOCIALISTA OBRERO ESPAÑOL,psoe,#e70000,5,1,2,pp_psoe,FALSE
41,41048,NA,NA,NA,NA,NA,NA,,NA,NA,99,NA,TRUE
34,34104,Melgar de Yuso,PP,PP,pp,PARTIDO POPULAR,pp,#0166dc,7,4,1,cs_pp,FALSE
34,34104,Melgar de Yuso,Cs,Cs,c-s,CIUDADANOS PARTIDO DE LA CIUDADANIA,cs,#feb806,7,3,2,cs_pp,FALSE
41,41049,NA,NA,NA,NA,NA,NA,,NA,NA,99,NA,TRUE
34,34106,Meneses de Campos,PP,PP,pp,PARTIDO POPULAR,pp,#0166dc,5,4,1,cs_pp,FALSE
34,34106,Meneses de Campos,Cs,Cs,c-s,CIUDADANOS PARTIDO DE LA CIUDADANIA,cs,#feb806,5,1,2,cs_pp,FALSE
41,41050,NA,NA,NA,NA,NA,NA,,NA,NA,99,NA,TRUE
34,34107,Micieces de Ojeda,PP,PP,pp,PARTIDO POPULAR,pp,#0166dc,3,3,1,pp,FALSE
41,41051,NA,NA,NA,NA,NA,NA,,NA,NA,99,NA,TRUE
34,34108,Monzón de Campos,PSOE,PSOE,psoe,PARTIDO SOCIALISTA OBRERO ESPAÑOL,psoe,#e70000,7,5,1,pp_psoe,FALSE
34,34108,Monzón de Campos,PP,PP,pp,PARTIDO POPULAR,pp,#0166dc,7,2,2,pp_psoe,FALSE
41,41052,NA,NA,NA,NA,NA,NA,,NA,NA,99,NA,TRUE
34,34109,Moratinos,PP,PP,pp,PARTIDO POPULAR,pp,#0166dc,3,2,1,pp_psoe,FALSE
34,34109,Moratinos,P.S.O.E.,PSOE,psoe,PARTIDO SOCIALISTA OBRERO ESPAÑOL,psoe,#e70000,3,1,2,pp_psoe,FALSE
41,41053,NA,NA,NA,NA,NA,NA,,NA,NA,99,NA,TRUE
34,34110,Mudá,PP,PP,pp,PARTIDO POPULAR,pp,#0166dc,3,2,1,cs_pp,FALSE
34,34110,Mudá,Cs,Cs,c-s,CIUDADANOS PARTIDO DE LA CIUDADANIA,cs,#feb806,3,1,2,cs_pp,FALSE
41,41054,NA,NA,NA,NA,NA,NA,,NA,NA,99,NA,TRUE
34,34112,Nogal de las Huertas,P.S.O.E.,PSOE,psoe,PARTIDO SOCIALISTA OBRERO ESPAÑOL,psoe,#e70000,3,2,1,pp_psoe,FALSE
34,34112,Nogal de las Huertas,PP,PP,pp,PARTIDO POPULAR,pp,#0166dc,3,1,2,pp_psoe,FALSE
